# Id|MoodId|InfluenceId|ThemeTypeId|EventAgentCode
# Id 1-20: события (ThemeTypeId, EventAgentCode). Id 21-40: настроение (MoodId, ThemeTypeId). Id 41-60: воздействие (InfluenceId, ThemeTypeId). ThemeTypeId: уникален внутри каждого из трёх диапазонов; между диапазонами одна тема может повторяться. EventAgentCode: -1=нет; для 1-20 — код из AgentEventsCatalog.
1|-1|-1|5|1
2|-1|-1|12|2
3|-1|-1|10|3
4|-1|-1|8|4
5|-1|-1|7|5
6|-1|-1|4|6
7|-1|-1|1|7
8|-1|-1|16|8
9|-1|-1|21|9
10|-1|-1|22|10
11|-1|-1|-1|-1
12|-1|-1|-1|-1
13|-1|-1|-1|-1
14|-1|-1|-1|-1
15|-1|-1|-1|-1
16|-1|-1|-1|-1
17|-1|-1|-1|-1
18|-1|-1|-1|-1
19|-1|-1|-1|-1
20|-1|-1|-1|-1
21|0|-1|17|-1
22|1|-1|5|-1
23|2|-1|3|-1
24|3|-1|8|-1
25|4|-1|6|-1
26|5|-1|15|-1
27|6|-1|13|-1
28|7|-1|9|-1
29|-1|-1|-1|-1
30|-1|-1|-1|-1
31|-1|-1|-1|-1
32|-1|-1|-1|-1
33|-1|-1|-1|-1
34|-1|-1|-1|-1
35|-1|-1|-1|-1
36|-1|-1|-1|-1
37|-1|-1|-1|-1
38|-1|-1|-1|-1
39|-1|-1|-1|-1
40|-1|-1|-1|-1
41|-1|1|1|-1
42|-1|2|17|-1
43|-1|3|14|-1
44|-1|4|5|-1
45|-1|5|3|-1
46|-1|6|16|-1
47|-1|7|9|-1
48|-1|8|8|-1
49|-1|9|18|-1
50|-1|10|4|-1
51|-1|11|15|-1
52|-1|12|19|-1
53|-1|13|-1|-1
54|-1|14|-1|-1
55|-1|15|-1|-1
56|-1|16|-1|-1
57|-1|17|-1|-1
58|-1|18|-1|-1
59|-1|19|-1|-1
60|-1|20|-1|-1
