# Формат записи: ID|ParentID|BaseID|EmotionID|ActivityID|ToneMoodID|SimbolID|VerbID|CommandID|VisualID
# ID: уникальный идентификатор узла дерева
# ParentID: ID родительского узла (0 для корневых веток)
# BaseID: базовое состояние: -1=Плохо, 0=Норма, 1=Хорошо
# EmotionID: ID эмоции (0 если нет эмоции)
# ActivityID: ID образа сочетания действий с Пульта (0 если нет действия)
# ToneMoodID: ID образа контекста сообщения
# SimbolID: ID первого символа фразы (0 если нет фразы)
# VerbID: ID вербального образа (0 если нет фразы)
# CommandID: ID образа команды (0 если нет команды)
# VisualID: код зрительного канала (AgentVisualColor), 0=нейтральный; при отсутствии столбца CommandID/VisualID в старых файлах подразумевается 0
1|0|-1|0|0|0|0|0|0|0
4|1|-1|3|0|0|0|0|0|0
5|4|-1|3|2|0|0|0|0|0
6|5|-1|3|2|200|0|0|0|0
7|4|-1|3|0|200|0|0|0|0
8|7|-1|3|0|200|0|0|1|0
19|7|-1|3|0|200|0|0|3|0
21|7|-1|3|0|200|0|0|5|0
22|7|-1|3|0|200|0|0|2|0
9|1|-1|1|0|0|0|0|0|0
10|9|-1|1|1|0|0|0|0|0
11|10|-1|1|1|200|0|0|0|0
16|9|-1|1|0|200|0|0|0|0
17|16|-1|1|0|200|0|0|3|0
2|0|0|0|0|0|0|0|0|0
12|2|0|2|0|0|0|0|0|0
13|12|0|2|0|200|0|0|0|0
14|13|0|2|0|200|0|0|2|0
15|13|0|2|0|200|0|0|1|0
18|13|0|2|0|200|0|0|4|0
20|13|0|2|0|200|0|0|5|0
29|13|0|2|0|200|0|0|3|0
32|13|0|2|0|200|0|0|6|0
30|12|0|2|1|0|0|0|0|0
31|30|0|2|1|200|0|0|0|0
3|0|1|0|0|0|0|0|0|0
23|3|1|3|0|0|0|0|0|0
24|23|1|3|0|200|0|0|0|0
25|24|1|3|0|200|0|0|3|0
26|3|1|4|0|0|0|0|0|0
27|26|1|4|0|200|0|0|0|0
28|27|1|4|0|200|0|0|5|0
